TimeStamp, GSRValue
08:48:120,97
08:48:140,97
08:48:161,97
08:48:182,96
08:48:202,97
08:48:223,96
08:48:244,96
08:48:264,96
08:48:285,96
08:48:305,96
08:48:325,95
08:48:346,96
08:48:366,95
08:48:387,95
08:48:407,94
08:48:427,95
08:48:448,95
08:48:469,94
08:48:489,95
08:48:509,95
08:48:530,94
08:48:550,94
08:48:571,93
08:48:592,94
08:48:612,94
08:48:633,93
08:48:653,93
08:48:673,93
08:48:694,93
08:48:714,92
08:48:735,92
08:48:755,91
08:48:771,91
08:48:792,91
08:48:812,90
08:48:833,90
08:48:854,90
08:48:874,90
08:48:895,90
08:48:914,89
08:48:935,89
08:48:956,89
08:48:976,89
08:48:997,89
08:49:017,88
08:49:037,88
08:49:059,88
08:49:079,88
08:49:099,88
08:49:120,89
08:49:140,88
08:49:160,87
08:49:181,88
08:49:201,87
08:49:222,87
08:49:243,87
08:49:263,87
08:49:283,87
08:49:304,87
08:49:324,87
08:49:345,87
08:49:365,88
08:49:386,88
08:49:406,88
08:49:427,88
08:49:448,88
08:49:468,88
08:49:489,88
08:49:509,87
08:49:525,87
08:49:545,87
08:49:566,87
08:49:587,88
08:49:607,87
08:49:628,87
08:49:648,87
08:49:668,89
08:49:689,87
08:49:709,87
08:49:730,88
08:49:751,88
08:49:771,88
08:49:792,87
08:49:812,87
08:49:833,87
08:49:853,87
08:49:873,88
08:49:894,87
08:49:915,88
08:49:935,88
08:49:955,87
08:49:976,87
08:49:997,88
08:50:017,87
08:50:037,88
08:50:058,88
08:50:078,88
08:50:099,88
08:50:119,88
08:50:140,89
08:50:160,89
08:50:180,89
08:50:200,89
08:50:221,89
08:50:242,89
08:50:263,89
08:50:279,89
08:50:299,89
08:50:320,89
08:50:340,89
08:50:361,89
08:50:381,89
08:50:402,89
08:50:423,89
08:50:443,90
08:50:463,89
08:50:483,89
08:50:504,89
08:50:525,89
08:50:545,90
08:50:566,89
08:50:586,89
08:50:607,90
08:50:626,90
08:50:648,89
08:50:668,90
08:50:688,90
08:50:709,90
08:50:730,90
08:50:750,90
08:50:770,90
08:50:791,90
08:50:812,90
08:50:832,91
08:50:852,90
08:50:872,91
08:50:893,91
08:50:914,91
08:50:934,91
08:50:955,91
08:50:975,91
08:50:996,91
08:51:016,91
08:51:036,92
08:51:053,91
08:51:073,91
08:51:094,91
08:51:115,91
08:51:135,91
08:51:156,91
08:51:176,91
08:51:196,91
08:51:217,92
08:51:237,91
08:51:258,92
08:51:278,91
08:51:299,91
08:51:319,91
08:51:339,91
08:51:360,91
08:51:381,91
08:51:401,91
08:51:421,91
08:51:442,91
08:51:463,91
08:51:483,91
08:51:503,91
08:51:524,91
08:51:544,91
08:51:565,92
08:51:585,92
08:51:606,92
08:51:626,92
08:51:647,92
08:51:667,92
08:51:688,92
08:51:708,91
08:51:729,92
08:51:749,92
08:51:770,92
08:51:786,91
08:51:807,92
08:51:827,91
08:51:847,91
08:51:868,92
08:51:888,92
08:51:909,91
08:51:930,92
08:51:950,91
08:51:970,91
08:51:991,91
08:52:011,91
08:52:032,91
08:52:052,91
08:52:073,91
08:52:093,91
08:52:114,91
08:52:134,91
08:52:154,91
08:52:175,90
08:52:195,90
08:52:216,91
08:52:237,90
08:52:257,90
08:52:278,89
08:52:298,90
08:52:318,90
08:52:339,90
08:52:359,90
08:52:380,89
08:52:400,89
08:52:421,89
08:52:442,88
08:52:462,88
08:52:483,88
08:52:502,87
08:52:523,87
08:52:544,86
08:52:560,86
08:52:581,86
08:52:601,85
08:52:622,85
08:52:642,84
08:52:663,85
08:52:683,84
08:52:703,83
08:52:724,83
08:52:744,82
08:52:765,82
08:52:785,82
08:52:806,81
08:52:827,81
08:52:847,81
08:52:868,80
08:52:888,80
08:52:908,79
08:52:928,79
08:52:950,79
08:52:970,79
08:52:990,79
08:53:011,78
08:53:031,78
08:53:052,78
08:53:072,78
08:53:093,78
08:53:113,78
08:53:133,78
08:53:154,78
08:53:175,78
08:53:195,77
08:53:216,78
08:53:236,77
08:53:256,76
08:53:277,77
08:53:297,77
08:53:314,77
08:53:334,76
08:53:355,76
08:53:376,76
08:53:396,76
08:53:416,76
08:53:436,76
08:53:457,76
08:53:478,75
08:53:498,75
08:53:519,75
08:53:539,75
08:53:560,75
08:53:580,75
08:53:600,75
08:53:621,75
08:53:641,76
08:53:662,75
08:53:682,75
08:53:703,75
08:53:724,76
08:53:744,76
08:53:764,76
08:53:785,76
08:53:805,76
08:53:826,77
08:53:846,77
08:53:866,77
08:53:887,77
08:53:907,77
08:53:928,77
08:53:948,77
08:53:969,77
08:53:990,76
08:54:011,77
08:54:031,77
08:54:051,77
08:54:068,77
08:54:088,77
08:54:108,77
08:54:129,77
08:54:149,77
08:54:170,77
08:54:191,77
08:54:210,77
08:54:231,77
08:54:252,78
08:54:272,77
08:54:292,78
08:54:313,78
08:54:334,78
08:54:355,78
08:54:374,78
08:54:395,78
08:54:416,79
08:54:437,79
08:54:457,79
08:54:477,79
08:54:497,80
08:54:518,79
08:54:539,79
08:54:559,80
08:54:580,81
08:54:600,80
08:54:620,80
08:54:640,81
08:54:661,80
08:54:682,80
08:54:702,80
08:54:723,80
08:54:743,80
08:54:764,81
08:54:785,81
08:54:804,81
08:54:825,81
08:54:841,81
08:54:862,81
08:54:882,82
08:54:903,81
08:54:923,82
08:54:944,82
08:54:965,82
08:54:985,82
08:55:005,82
08:55:026,82
08:55:046,82
08:55:067,82
08:55:087,82
08:55:108,83
08:55:128,84
08:55:148,84
08:55:169,83
08:55:189,84
08:55:211,84
08:55:231,84
08:55:251,328
08:55:271,84
08:55:292,84
08:55:312,84
08:55:333,84
08:55:353,84
08:55:373,83
08:55:395,84
08:55:415,84
08:55:436,84
08:55:456,84
08:55:476,84
08:55:497,84
08:55:517,84
08:55:537,84
08:55:558,84
08:55:579,85
08:55:599,84
08:55:620,84
08:55:636,84
08:55:657,84
08:55:677,85
08:55:697,84
08:55:718,85
08:55:739,85
08:55:759,85
08:55:779,85
08:55:800,85
08:55:820,85
08:55:841,86
08:55:861,86
08:55:882,86
08:55:902,86
08:55:922,86
08:55:943,86
08:55:964,86
08:55:984,87
08:56:005,86
08:56:025,86
08:56:046,86
08:56:066,86
08:56:086,86
08:56:107,86
08:56:128,86
08:56:148,86
08:56:169,86
08:56:189,87
08:56:209,86
08:56:230,86
08:56:250,86
08:56:271,86
08:56:292,86
08:56:312,87
08:56:332,86
08:56:353,87
08:56:373,86
08:56:390,87
08:56:410,86
08:56:431,86
08:56:451,86
08:56:471,87
08:56:492,86
08:56:513,86
08:56:533,87
08:56:554,86
08:56:574,87
08:56:594,87
08:56:615,87
08:56:636,87
08:56:656,88
08:56:676,87
08:56:697,87
08:56:718,87
08:56:738,87
08:56:758,87
08:56:779,87
08:56:800,87
08:56:819,87
08:56:840,87
08:56:861,87
08:56:881,87
08:56:901,87
08:56:922,87
08:56:943,87
08:56:963,87
08:56:983,88
08:57:004,87
08:57:025,88
08:57:045,87
08:57:066,88
08:57:086,88
08:57:106,87
08:57:126,87
08:57:143,88
08:57:163,87
08:57:185,87
08:57:204,88
08:57:225,88
08:57:246,87
08:57:266,88
08:57:287,88
08:57:307,88
08:57:327,88
08:57:349,89
08:57:369,88
08:57:389,89
08:57:410,89
08:57:430,88
08:57:450,88
08:57:470,88
08:57:492,88
08:57:512,88
08:57:532,88
08:57:553,88
08:57:574,88
08:57:594,88
08:57:615,88
08:57:634,88
08:57:656,88
08:57:676,87
08:57:696,87
08:57:717,88
08:57:737,88
08:57:758,87
08:57:778,87
08:57:798,87
08:57:819,87
