TimeStamp, GSRValue
37:42:551,150
37:42:571,149
37:42:592,149
37:42:612,149
37:42:632,149
37:42:654,149
37:42:673,149
37:42:694,149
37:42:714,150
37:42:735,150
37:42:756,150
37:42:776,149
37:42:796,150
37:42:818,150
37:42:838,150
37:42:858,150
37:42:878,150
37:42:899,149
37:42:919,149
37:42:940,150
37:42:960,150
37:42:981,149
37:43:002,149
37:43:022,149
37:43:042,149
37:43:063,150
37:43:083,150
37:43:104,150
37:43:124,149
37:43:145,150
37:43:166,149
37:43:186,150
37:43:206,150
37:43:226,150
37:43:247,150
37:43:267,149
37:43:288,150
37:43:309,150
37:43:329,150
37:43:350,150
37:43:370,150
37:43:390,150
37:43:411,149
37:43:431,149
37:43:452,149
37:43:473,150
37:43:493,149
37:43:513,149
37:43:534,150
37:43:555,149
37:43:574,150
37:43:596,149
37:43:616,149
37:43:636,150
37:43:657,149
37:43:677,150
37:43:694,149
37:43:714,149
37:43:735,150
37:43:755,149
37:43:776,149
37:43:796,149
37:43:816,150
37:43:837,150
37:43:857,150
37:43:878,149
37:43:899,149
37:43:919,150
37:43:939,150
37:43:960,149
37:43:980,149
37:44:001,149
37:44:022,149
37:44:041,149
37:44:062,149
37:44:083,149
37:44:104,149
37:44:123,149
37:44:145,149
37:44:165,149
37:44:186,150
37:44:205,149
37:44:226,149
37:44:247,246
37:44:267,149
37:44:288,149
37:44:308,149
37:44:329,149
37:44:349,149
37:44:369,149
37:44:390,148
37:44:410,149
37:44:431,149
37:44:451,149
37:44:472,149
37:44:492,149
37:44:513,149
37:44:533,149
37:44:554,149
37:44:574,149
37:44:595,149
37:44:615,149
37:44:635,149
37:44:656,149
37:44:677,149
37:44:697,149
37:44:717,149
37:44:738,149
37:44:758,149
37:44:779,148
37:44:800,149
37:44:820,149
37:44:840,149
37:44:861,149
37:44:881,148
37:44:902,149
37:44:922,149
37:44:943,149
37:44:963,149
37:44:984,149
37:45:004,149
37:45:025,149
37:45:045,149
37:45:066,149
37:45:087,149
37:45:106,149
37:45:128,149
37:45:147,149
37:45:168,149
37:45:185,149
37:45:205,148
37:45:225,149
37:45:246,149
37:45:266,149
37:45:287,149
37:45:307,149
37:45:328,149
37:45:349,150
37:45:369,149
